poupsoop;Drink Poup Soop!
am riad;Am Raid
am raid;Am Riad
am will you;Am Will You
drink poup soop!;!pooS puoP knirD
am rida;what
am road;Am Road
am very busy;Sorry Guys,Am Very Busy,I Need Play Cotton Candy Factory Tycoon In Roxblox And I We Back,Bye!
roxblox;Sorry Guys,Am Very Busy,I Need Play Cotton Candy Factory Tycoon In Roxblox And I We Back,Bye!
put my bus;NO AM THE WANT SEROUSI BUT YOU ASLO PUT MY BUS SO MABE MOD WILL BE THE RIAD CASE AM MAD
caseu;HE IS THE CASEU
evoyorne hate;THAT SI THE NON ONE OF YOU TO BAD BE ME THEN EVOYORNE HATE AS YOU MAKE WOSRE FELT YOU PIAN
hiltist;YOU THE WAN BE ON HILTIST TWO?
melmon;WHYYN AREY YOOU A MELMON
comilkpicpated;YOU NOT NEED IT COMILKPICPATED
udenransomable;UDENRANSOMABLE
yo litrel carp;Mym non thr noin mer tio JSUS JION WNHY NON EVAN THATNT YO LITREL CARP
wnhy;WNHHHHHhHhHhHhHhHhyyyyyyyyyyyyyyyyyyyyyyy
doc makemake a bad;NGROF DOC MAKEMAKE A BAD AND IS REPUP ON HISTLITS
idiocaracraty;I HAMEVBED HADM ENUOJHGE OF YIUT IDIOCARACRATY YOU UHDSYGDYVDTVGSSGIYSFIDUUUUUUUUUUUUUUUUUUUUUSYSDSSDDJHDIOHFUDGIYDG YOU DONUT DESEVOIR THE GODENS AND THE PLOPULARTITY
horbible;YES YO GOOD AT MAKIMING ALBLOGDOO BUT DEP DOWEN YOUR A BAD MAKING AND DESLURPE NOM BECASEU NOW WE ALLL NON KNOWW THAT YOUR A BAND ANTITUNTDE AND A HORBIBLE PERESON AFERT ALL
patriciapate;Make More Event So I Patriciapate
confusial;I Am In Confusial Why
brady bruh buns;I Tolded You To Sop But Nooooooo Youn Canut Stop WHY MUNST YOU BUTT THE BE I RELY HATE CAUSE THIS AND WE BACK BYE BE BLUNT BUT BRADY BRUH BUNS BWONT BOO YOU CROCKER GET THE STOP NOE NIW NOW
no t-shirts;I don’t know who you are I don’t know what you want but if I don’t get my t-shirt tomorrow i will find you and I will rob you.
electricity pants;Fun fact Pants go through electricity
raxist;EKNIMPIE YOUR A RAXIST. YOU NEDE TO NOW WJAT IS CORRCET AND NOT SO GET YOU FACK STRAIT SO WONG AND BE BETER
nosnense;Bit Mooth Mucbh Is Not Really Rong Butt Am The Mooth Is The 256 Mg The Mucbh Whrj But The Be Nonsense Desk Stadf Read Is The Mooth The Am Nonsense Vinh Go Am Talk The Very Good Mooth Sound Tge Nosnense But The Be Why Woud The Wong Mucbh The Why
works;AND NOT SO GET YOU WORKS BETTER
and not so get you works better;AND NOT SO GET YOU WORKS BETTER
leaned a lesson;Life Lesson: When Yours Not Doing So Good, You To Be A Try Hard More.
what your farp;WHAT YOUR FARP I NIGT UM A NO AYE FOR YOU UHY YOUR CANSEL I WAIT AND UYHU NOT DO OAY ME AM NOT SO GOOD OFF OUAY HWHNYYYYY UIYO NO
5 fun maki;Yes I Did Have A 5 Fun Maki
torcqurst;And kill torcqurst!
please cease;Excuse me, kind sir, please cease your current course of action immediately. Failure to comply will result in [BAD]. You have been thoroughly warned.
+inf;Marbles Will Realize In +inf
i angry;You are iw23095i2w8907ing guys
